id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
5541871,Alice,,Wandsworth,51.46289931,-0.184167698,Entire home/apt,185,5,1,2015/3/14,1,97,252
1212556,Caio & Louise,,Camden,51.52193192,-0.124446782,Entire home/apt,250,1,17,2015/1/19,0.8,4,334
507281,Lisa,,Camden,51.55013776,-0.170267143,Entire home/apt,120,1,5,2014/3/24,0.1,1,0
1111686,Marianna,,Hackney,51.54430961,-0.036943346,Private room,25,3,14,2015/3/29,0.7,1,73
2276439,Rosie,,Westminster,51.51596685,-0.197038219,Entire home/apt,285,3,16,2015/2/22,1.3,3,190
5859481,Vincent & Marina,,Tower Hamlets,51.52106733,-0.054727416,Private room,56,1,0,,,7,365
5368679,Simon,,Hackney,51.5623144,-0.046642937,Entire home/apt,100,3,0,,,1,347
4265563,Dana,,Lambeth,51.46798195,-0.129228579,Entire home/apt,110,1,0,,,1,157
4724561,Damian,,Hammersmith and Fulham,51.49003721,-0.223463544,Entire home/apt,67,1,16,2015/3/27,6.1,3,288
3967169,Vanessa,,Kensington and Chelsea,51.48785643,-0.184007524,Private room,95,2,2,2014/11/10,0.3,2,364
1980730,Karen,,Wandsworth,51.46182837,-0.182748096,Entire home/apt,90,2,2,2014/3/1,0.1,1,365
725295,Pavel,,Westminster,51.51750068,-0.19738379,Entire home/apt,243,2,1,2014/2/6,0.1,31,365
1362534,Alejandro,,Lambeth,51.46085798,-0.098456444,Entire home/apt,95,1,38,2015/3/29,1.9,2,338
4499268,Giulio,,Ealing,51.51309127,-0.306337631,Private room,100,1,0,,,1,127
1445458,Hong,,Hammersmith and Fulham,51.50052479,-0.216593326,Entire home/apt,100,14,1,2013/10/7,0.1,2,340
5795674,Aroa,,Kensington and Chelsea,51.49091867,-0.19895745,Entire home/apt,100,1,0,,,1,354
592293,Helen,,Westminster,51.51902349,-0.139789353,Entire home/apt,138,5,41,2015/3/3,1.3,4,232
4574983,Aster & Heather,,Westminster,51.518136,-0.188856488,Private room,66,3,3,2014/12/14,0.7,3,343
5390872,Rees,,Camden,51.52114965,-0.109908061,Entire home/apt,200,1,0,,,1,343
5707285,Marika,,Tower Hamlets,51.50177103,-0.024603863,Entire home/apt,90,1,0,,,1,301
791247,Jason,,Tower Hamlets,51.52101685,-0.055937624,Private room,65,2,71,2015/3/23,2.5,1,60
2313103,Elite,,Tower Hamlets,51.50166085,-0.019614234,Entire home/apt,135,3,4,2015/3/22,0.3,17,352
5047741,Yanti,,Camden,51.5455724,-0.136379263,Private room,27,3,0,,,1,57
2806536,James,,Tower Hamlets,51.5345822,-0.037339098,Private room,29,2,6,2015/1/4,0.5,1,258
1313460,Uros,,Tower Hamlets,51.51729492,-0.075120758,Private room,45,1,104,2015/4/6,4.9,10,281
3583163,Karolina,,Tower Hamlets,51.52596294,-0.052591337,Entire home/apt,65,3,7,2015/3/22,0.8,1,211
5727306,Willian,,Tower Hamlets,51.50013331,-0.017416939,Entire home/apt,140,3,0,,,26,251
5183311,Mark,,Tower Hamlets,51.51929857,-0.050307017,Entire home/apt,58,2,0,,,1,43
586626,Tom & Sophie,,Tower Hamlets,51.51887622,-0.016737664,Entire home/apt,120,7,0,,,1,365
5589115,Willian,,Tower Hamlets,51.51860957,-0.062869357,Entire home/apt,90,3,0,,,26,228
2271369,Leah & Bruce,,Hackney,51.54329069,-0.073394722,Private room,39,1,17,2015/3/14,2.2,1,365
4051207,David And Helen,,Tower Hamlets,51.5194824,-0.053646874,Private room,30,1,11,2015/3/31,1.6,26,337
2497912,Hatem,,Wandsworth,51.45537079,-0.180156823,Private room,50,2,22,2015/3/26,1.7,1,286
403390,Heidi,,Tower Hamlets,51.53001407,-0.053715348,Entire home/apt,125,4,3,2014/1/5,0.2,2,211
2803284,Sidney,,Lewisham,51.47422074,-0.029069379,Private room,35,1,5,2015/2/21,1.1,48,288
4042666,Maria Luisa,,Tower Hamlets,51.51420998,-0.027597084,Private room,50,2,13,2015/4/5,1.9,1,225
5745155,Pip,,Islington,51.55493489,-0.103277973,Entire home/apt,105,10,0,,,1,23
294150,Dennis,,Tower Hamlets,51.50923287,-0.060454364,Private room,60,14,0,,,1,365
3695227,Markéta,,Lewisham,51.48873667,-0.032228344,Private room,22,3,6,2015/2/18,0.8,1,112
738251,Peter,,Bexley,51.49573975,0.154319618,Shared room,40,1,1,2013/12/17,0.1,1,365
893407,Roza,,Newham,51.54574208,0.006548076,Private room,40,2,43,2015/3/30,1.7,14,126
4651949,Julie & Fabrice,,Southwark,51.49848189,-0.080719064,Private room,69,2,7,2015/3/11,1.7,3,298
1753129,Sophie,,Tower Hamlets,51.52051947,-0.075346064,Private room,100,1,5,2014/10/19,0.3,1,180
1109005,Jason,,Lambeth,51.45986014,-0.119040095,Private room,50,4,0,,,1,293
5120278,Dexter,,Newham,51.51217771,0.052607604,Entire home/apt,250,1,0,,,1,365
4737648,Nicolas,,Lambeth,51.47587946,-0.128166019,Entire home/apt,108,2,0,,,1,99
5130755,Femke,,Hammersmith and Fulham,51.4735929,-0.195237173,Private room,55,1,0,,,1,333
3202682,Jelena,,Kensington and Chelsea,51.49600626,-0.163297951,Entire home/apt,400,5,3,2014/8/1,0.3,2,357
1896960,Quentin,,Southwark,51.49477466,-0.095336433,Private room,38,3,3,2015/1/4,0.4,2,208
2061604,Marin,,Merton,51.41171139,-0.209278541,Private room,65,1,0,,,1,365
1147278,Carrie,,Kensington and Chelsea,51.49340453,-0.167637727,Entire home/apt,75,3,2,2015/3/4,0.9,16,181
4475570,Anna & Davide,,Southwark,51.49168325,-0.059369424,Private room,48,2,2,2015/1/21,0.5,3,153
2011406,Jaana,,Kensington and Chelsea,51.50681995,-0.208310102,Private room,85,2,12,2015/3/29,1.1,2,361
5001556,Alice,,Kensington and Chelsea,51.48535913,-0.161291271,Entire home/apt,239,5,0,,,97,268
100418,Federica L.,,Kensington and Chelsea,51.49000016,-0.19438916,Entire home/apt,140,4,0,,,1,322
5461259,Eva,,Kensington and Chelsea,51.49139788,-0.164264306,Entire home/apt,125,1,1,2015/3/30,1,1,116
1792022,Ioannis,,Westminster,51.51200225,-0.119374965,Entire home/apt,120,6,0,,,1,213
1626093,Dylan,,Westminster,51.52412833,-0.202449673,Entire home/apt,140,3,8,2015/1/13,0.4,1,357
326534,Katie,,Westminster,51.51565736,-0.130532894,Entire home/apt,120,3,37,2015/3/3,1,4,272
4065633,Hugo,,Westminster,51.5193522,-0.19833063,Entire home/apt,120,1,0,,,1,365
4964220,Harriet,,Camden,51.54068412,-0.159296789,Entire home/apt,83,4,3,2015/2/22,1.1,1,66
1209463,Titiane,,Camden,51.52306294,-0.119839025,Entire home/apt,110,5,1,2013/8/10,0,1,171
